Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
                0.04    0.00 41882079/41943037     move_pos [48]
                0.04    0.00       3/3           move_pending [51]
                0.03    0.00 41882082/41943436     mf_avail [52]
                0.00    0.00 41882079/41943433     mf_ptr [98]
                0.00    0.00     300/61258       bt_skip_func [107]
-----------------------------------------------
                0.31   10.20 37465743/37465743     lzma_lzma_optimum_normal [8]
[13]    51.2    0.31   10.20 37465743         helper1 [13]
                0.08   10.02 37465651/41882082     lzma_mf_find [11]
                0.03    0.00 37465742/41882081     mf_ptr [56]
                0.03    0.00 1808656/6238542     get_literal_price [42]
                0.01    0.01 2543627/5666167     get_pos_len_price [47]
                0.01    0.00 37465743/41882082     mf_avail [70]
                0.01    0.00 1755129/5768139     rc_bittree_price [58]
                0.01    0.00  352613/1115106     get_short_rep_price [62]
                0.01    0.00 3617312/12559573     rc_bit_1_price [61]
                0.00    0.00 1808656/5378026     make_literal [71]
                0.00    0.00     396/396         mf_skip [83]
                0.00    0.00    6655/62726       get_pure_rep_price [81]
                0.00    0.00 3387697/11554526     rc_bit_0_price [99]
                0.00    0.00  226535/890140      make_short_rep [103]
                0.00    0.00    8671/5758512     get_len_price [100]
-----------------------------------------------
                0.00    7.79       1/1           spec_compress [15]
[14]    37.9    0.00    7.79       1         compressStream [14]
                0.00    7.79    9439/23420       lzma_code [2]
                0.00    0.00       1/1           init_encoder [93]
                0.00    0.00   10244/24046       spec_mem_feof [111]
                0.00    0.00    5120/12021       spec_mem_fread [114]
                0.00    0.00    4984/12066       spec_mem_fwrite [113]
                0.00    0.00       1/3           lzma_end [165]
-----------------------------------------------
                0.00    7.79       1/1           main [1]
[15]    37.9    0.00    7.79       1         spec_compress [15]
                0.00    7.79       1/1           compressStream [14]
-----------------------------------------------
                7.00    0.00 41881779/41881779     lzma_mf_bt4_find [12]
[16]    34.1    7.00    0.00 41881779         bt_find_func [16]
-----------------------------------------------
                0.00    6.45       1/1           main [1]
[17]    31.4    0.00    6.45       1         spec_mem_load [17]
                0.00    5.77       1/2           spec_uncompress [9]
                0.00    0.68       2/3           spec_mem_sum [27]
